Model,Type,Min.Price,Price,Max.Price,Range.Price,MPG.city,MPG.highway
1,Midsize,"14,200","15,700","17,300","3,100",22,31
2,Large,"19,900","20,800","21,700","1,800",19,28
3,Large,"22,600","23,700","24,900","2,300",16,25
4,Midsize,"26,300","26,300","26,300",0,19,27
5,Large,"33,000","34,700","36,300","3,300",16,25
6,Midsize,"37,500","40,100","42,700","5,200",16,25
7,Compact,"8,500","13,400","18,300","9,800",25,36
8,Compact,"11,400","11,400","11,400",0,25,34
9,Sporty,"13,400","15,100","16,800","3,400",19,28
10,Midsize,"13,400","15,900","18,400","5,000",21,29
11,Van,"14,700","16,300","18,000","3,300",18,23
12,Van,"14,700","16,600","18,600","3,900",15,20
13,Large,"18,000","18,800","19,600","1,600",17,26
14,Sporty,"34,600","38,000","41,500","6,900",17,25
15,Large,"18,400","18,400","18,400",0,20,28
16,Compact,"14,500","15,800","17,100","2,600",23,28
17,Large,"29,500","29,500","29,500",0,20,26
18,Small,"7,900","9,200","10,600","2,700",29,33
19,Small,"8,400","11,300","14,200","5,800",23,29
20,Compact,"11,900","13,300","14,700","2,800",22,27
21,Van,"13,600","19,000","24,400","10,800",17,21
22,Midsize,"14,800","15,600","16,400","1,600",21,27
23,Sporty,"18,500","25,800","33,100","14,600",18,24
24,Small,"7,900","12,200","16,500","8,600",29,33
25,Large,"17,500","19,300","21,200","3,700",20,28
26,Small,"6,900","7,400","7,900","1,000",31,33
27,Small,"8,400","10,100","11,900","3,500",23,30
28,Compact,"10,400","11,300","12,200","1,800",22,27
29,Sporty,"10,800","15,900","21,000","10,200",22,29
30,Sporty,"12,800","14,000","15,200","2,400",24,30
31,Van,"14,500","19,900","25,300","10,800",15,20
32,Midsize,"15,600","20,200","24,800","9,200",21,30
33,Large,"20,100","20,900","21,700","1,600",18,26
34,Midsize,"33,300","34,300","35,300","2,000",17,26
35,Large,"34,400","36,100","37,800","3,400",18,26
36,Sporty,"13,300","14,100","15,000","1,700",23,26
37,Midsize,"14,900","14,900","14,900",0,19,26
38,Compact,"13,000","13,500","14,000","1,000",24,31
39,Midsize,"14,200","16,300","18,400","4,200",23,31
40,Van,"19,500","19,500","19,500",0,18,23
41,Large,"19,500","20,700","21,900","2,400",19,28
42,Sporty,"11,400","14,400","17,400","6,000",23,30
43,Small,"8,200","9,000","9,900","1,700",31,41
44,Compact,"9,400","11,100","12,800","3,400",23,31
45,Sporty,"14,000","17,700","21,400","7,400",19,28
46,Midsize,"15,400","18,500","21,600","6,200",19,27
47,Large,"19,400","24,400","29,400","10,000",19,28
48,Small,"9,200","11,100","12,900","3,700",28,38
